u	v	kind	res_ohm
360	361	x	9.205319961e-03
360	381	y	3.113737108e-02
361	362	x	9.205319961e-03
361	382	y	3.113737108e-02
362	363	x	9.205319961e-03
362	383	y	3.113737108e-02
363	364	x	9.205319961e-03
363	384	y	3.113737108e-02
364	365	x	9.205319961e-03
364	385	y	3.113737108e-02
365	366	x	9.205319961e-03
365	386	y	3.113737108e-02
366	367	x	9.205319961e-03
366	387	y	3.113737108e-02
367	368	x	9.205319961e-03
367	388	y	3.113737108e-02
368	369	x	9.205319961e-03
368	389	y	3.113737108e-02
369	370	x	9.205319961e-03
369	390	y	3.113737108e-02
370	371	x	9.205319961e-03
370	391	y	3.113737108e-02
371	372	x	9.205319961e-03
371	392	y	3.113737108e-02
372	373	x	9.205319961e-03
372	393	y	3.113737108e-02
373	374	x	9.205319961e-03
373	394	y	3.113737108e-02
374	375	x	9.205319961e-03
374	395	y	3.113737108e-02
375	376	x	9.205319961e-03
375	396	y	3.113737108e-02
376	377	x	9.205319961e-03
376	397	y	3.113737108e-02
377	398	y	3.113737108e-02
378	379	x	9.205319961e-03
378	399	y	3.113737108e-02
379	380	x	9.205319961e-03
379	400	y	3.113737108e-02
380	381	x	9.205319961e-03
380	401	y	3.113737108e-02
381	382	x	9.205319961e-03
381	402	y	3.113737108e-02
382	383	x	9.205319961e-03
382	403	y	3.113737108e-02
383	384	x	9.205319961e-03
383	404	y	3.113737108e-02
384	385	x	9.205319961e-03
384	405	y	3.113737108e-02
385	386	x	9.205319961e-03
385	406	y	3.113737108e-02
386	387	x	9.205319961e-03
386	407	y	3.113737108e-02
387	388	x	9.205319961e-03
387	408	y	3.113737108e-02
388	389	x	9.205319961e-03
388	409	y	3.113737108e-02
389	390	x	9.205319961e-03
389	410	y	3.113737108e-02
390	391	x	9.205319961e-03
390	411	y	3.113737108e-02
391	392	x	9.205319961e-03
391	412	y	3.113737108e-02
392	393	x	9.205319961e-03
392	413	y	3.113737108e-02
393	394	x	9.205319961e-03
393	414	y	3.113737108e-02
394	395	x	9.205319961e-03
394	415	y	3.113737108e-02
395	396	x	9.205319961e-03
395	416	y	3.113737108e-02
396	397	x	9.205319961e-03
396	417	y	3.113737108e-02
397	398	x	9.205319961e-03
397	418	y	3.113737108e-02
398	419	y	3.113737108e-02
399	400	x	9.205319961e-03
399	420	y	3.113737108e-02
400	401	x	9.205319961e-03
400	421	y	3.113737108e-02
401	402	x	9.205319961e-03
401	422	y	3.113737108e-02
402	403	x	9.205319961e-03
402	423	y	3.113737108e-02
403	404	x	9.205319961e-03
403	424	y	3.113737108e-02
404	405	x	9.205319961e-03
404	425	y	3.113737108e-02
405	406	x	9.205319961e-03
405	426	y	3.113737108e-02
406	407	x	9.205319961e-03
406	427	y	3.113737108e-02
407	408	x	9.205319961e-03
407	428	y	3.113737108e-02
408	409	x	9.205319961e-03
408	429	y	3.113737108e-02
409	410	x	9.205319961e-03
409	430	y	3.113737108e-02
410	411	x	9.205319961e-03
410	431	y	3.113737108e-02
411	412	x	9.205319961e-03
411	432	y	3.113737108e-02
412	413	x	9.205319961e-03
412	433	y	3.113737108e-02
413	414	x	9.205319961e-03
413	434	y	3.113737108e-02
414	415	x	9.205319961e-03
414	435	y	3.113737108e-02
415	416	x	9.205319961e-03
415	436	y	3.113737108e-02
416	417	x	9.205319961e-03
416	437	y	3.113737108e-02
417	418	x	9.205319961e-03
417	438	y	3.113737108e-02
418	419	x	9.205319961e-03
418	439	y	3.113737108e-02
419	440	y	3.113737108e-02
420	421	x	9.205319961e-03
421	422	x	9.205319961e-03
422	423	x	9.205319961e-03
423	424	x	9.205319961e-03
424	425	x	9.205319961e-03
425	426	x	9.205319961e-03
426	427	x	9.205319961e-03
427	428	x	9.205319961e-03
428	429	x	9.205319961e-03
429	430	x	9.205319961e-03
430	431	x	9.205319961e-03
431	432	x	9.205319961e-03
432	433	x	9.205319961e-03
433	434	x	9.205319961e-03
434	435	x	9.205319961e-03
435	436	x	9.205319961e-03
436	437	x	9.205319961e-03
437	438	x	9.205319961e-03
438	439	x	9.205319961e-03
439	440	x	9.205319961e-03
