x_idx	y_idx	drop_pct	voltage_v
0	9	0.288435261	0.997115647
1	9	0.288525515	0.997114745
2	9	0.283444418	0.997165556
3	9	0.273714400	0.997262856
4	9	0.259257817	0.997407422
5	9	0.239944076	0.997600559
6	9	0.215577287	0.997844227
7	9	0.182350048	0.998176500
8	9	0.144062844	0.998559372
9	9	0.100283955	0.998997160
10	9	0.049297426	0.999507026
11	9	0.082545795	0.999174542
12	9	0.109508012	0.998904920
13	9	0.130569610	0.998694304
14	9	0.145923575	0.998540764
15	9	0.155550447	0.998444496
16	9	0.159259615	0.998407404
17	9	0.162255097	0.998377449
18	9	0.164494400	0.998355056
19	9	0.165982922	0.998340171
20	9	0.166360748	0.998336393
0	8	0.270812050	0.997291880
1	8	0.271007864	0.997289921
2	8	0.266270040	0.997337300
3	8	0.257203369	0.997427966
4	8	0.243794633	0.997562054
5	8	0.225968639	0.997740314
6	8	0.203605238	0.997963948
7	8	0.172977229	0.998270228
8	8	0.137686731	0.998623133
9	8	0.096936014	0.999030640
10	8	0.048185867	0.999518141
11	8	0.079757371	0.999202426
12	8	0.105156766	0.998948432
13	8	0.125175997	0.998748240
14	8	0.140173848	0.998598262
15	8	0.150299342	0.998497007
