ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	ir_drop_V
19	10	1036	551	6.615962574e-05	0	6.615962574e-05	1.098901622	0.001098378456
20	10	1090	551	7.440309376e-06	0	7.440309376e-06	1.099161796	0.0008382035088
0	11	10	604.9	0.0002325314166	0	0.0002325314166	1.091319984	0.008680016154
1	11	64	604.9	0.0004765588107	0	0.0004765588107	1.091430696	0.008569304106
2	11	118	604.9	0.0004765588107	0	0.0004765588107	1.091783391	0.008216608659
3	11	172	604.9	0.0004765588107	0	0.0004765588107	1.09237824	0.007621759691
4	11	226	604.9	0.0004765588107	0	0.0004765588107	1.093217641	0.006782359196
5	11	280	604.9	0.0004765588107	0	0.0004765588107	1.094310546	0.005689453802
6	11	334	604.9	0.0004765588107	0	0.0004765588107	1.095685127	0.004314872797
7	11	388	604.9	0.0002693901075	0	0.0002693901075	1.097430603	0.002569397311
8	11	442	604.9	0.0002619497981	0	0.0002619497981	1.099732743	0.0002672568667
9	11	496	604.9	0.0002693901075	0	0.0002693901075	1.098044606	0.001955393735
10	11	550	604.9	0.0001437694776	0	0.0001437694776	1.09696036	0.003039640194
11	11	604	604.9	0.0003697060668	0	0.0003697060668	1.096212737	0.003787263129
12	11	658	604.9	0.0003697060668	0	0.0003697060668	1.095778862	0.004221138183
13	11	712	604.9	0.0003697060668	0	0.0003697060668	1.095619847	0.004380152681
14	11	766	604.9	0.0003697060668	0	0.0003697060668	1.095724271	0.004275728911
15	11	820	604.9	0.0003697060668	0	0.0003697060668	1.096086368	0.003913631694
16	11	874	604.9	0.0002772523473	0	0.0002772523473	1.096698023	0.003301976512
17	11	928	604.9	0.0002772523473	0	0.0002772523473	1.097493995	0.002506004515
18	11	982	604.9	0.0002772523473	0	0.0002772523473	1.098491803	0.001508197018
19	11	1036	604.9	5.871931636e-05	0	5.871931636e-05	1.099797176	0.0002028237027
20	11	1090	604.9	7.440309376e-06	0	7.440309376e-06	1.099587226	0.0004127742125
0	12	10	658.8	0.0002325314166	0	0.0002325314166	1.091466418	0.008533582169
1	12	64	658.8	0.0004765588107	0	0.0004765588107	1.091574692	0.008425308218
2	12	118	658.8	0.0004765588107	0	0.0004765588107	1.091923317	0.008076682764
3	12	172	658.8	0.0004765588107	0	0.0004765588107	1.092514545	0.00748545492
4	12	226	658.8	0.0004765588107	0	0.0004765588107	1.093355144	0.006644856465
5	12	280	658.8	0.0004765588107	0	0.0004765588107	1.094461876	0.005538123582
6	12	334	658.8	0.0004765588107	0	0.0004765588107	1.095871216	0.004128783629
7	12	388	658.8	0.0002693901075	0	0.0002693901075	1.097650832	0.002349167603
8	12	442	658.8	0.0002619497981	0	0.0002619497981	1.099767952	0.0002320484311
9	12	496	658.8	0.0002693901075	0	0.0002693901075	1.098373903	0.001626097348
10	12	550	658.8	0.0001437694776	0	0.0001437694776	1.097352391	0.002647609076
11	12	604	658.8	0.0003697060668	0	0.0003697060668	1.096590212	0.003409788356
12	12	658	658.8	0.0003697060668	0	0.0003697060668	1.096140369	0.00385963112
13	12	712	658.8	0.0003697060668	0	0.0003697060668	1.095962703	0.004037296893
14	12	766	658.8	0.0003697060668	0	0.0003697060668	1.096037344	0.003962655611
