u	v	kind	res_ohm
267	268	x	1.712489669e-03
267	295	y	8.437333742e-03
268	269	x	1.712489669e-03
268	296	y	8.437333742e-03
269	270	x	1.712489669e-03
269	297	y	8.437333742e-03
270	271	x	1.712489669e-03
270	298	y	8.437333742e-03
271	272	x	1.712489669e-03
271	299	y	8.437333742e-03
272	273	x	1.712489669e-03
272	300	y	8.437333742e-03
273	274	x	1.712489669e-03
273	301	y	8.437333742e-03
274	275	x	1.712489669e-03
274	302	y	8.437333742e-03
275	276	x	1.712489669e-03
275	303	y	8.437333742e-03
276	277	x	1.712489669e-03
276	304	y	8.437333742e-03
277	278	x	1.712489669e-03
277	305	y	8.437333742e-03
278	279	x	1.712489669e-03
278	306	y	8.437333742e-03
279	307	y	8.437333742e-03
280	281	x	1.712489669e-03
280	308	y	8.437333742e-03
281	282	x	1.712489669e-03
281	309	y	8.437333742e-03
282	283	x	1.712489669e-03
282	310	y	8.437333742e-03
283	284	x	1.712489669e-03
283	311	y	8.437333742e-03
284	285	x	1.712489669e-03
284	312	y	8.437333742e-03
285	286	x	1.712489669e-03
285	313	y	8.437333742e-03
286	287	x	1.712489669e-03
286	314	y	8.437333742e-03
287	288	x	1.712489669e-03
287	315	y	8.437333742e-03
288	289	x	1.712489669e-03
288	316	y	8.437333742e-03
289	290	x	1.712489669e-03
289	317	y	8.437333742e-03
290	291	x	1.712489669e-03
290	318	y	8.437333742e-03
291	292	x	1.712489669e-03
291	319	y	8.437333742e-03
292	293	x	1.712489669e-03
292	320	y	8.437333742e-03
293	294	x	1.712489669e-03
293	321	y	8.437333742e-03
294	295	x	1.712489669e-03
294	322	y	8.437333742e-03
295	296	x	1.712489669e-03
295	323	y	8.437333742e-03
296	297	x	1.712489669e-03
296	324	y	8.437333742e-03
297	298	x	1.712489669e-03
297	325	y	8.437333742e-03
298	299	x	1.712489669e-03
298	326	y	8.437333742e-03
299	300	x	1.712489669e-03
299	327	y	8.437333742e-03
300	301	x	1.712489669e-03
300	328	y	8.437333742e-03
301	302	x	1.712489669e-03
301	329	y	8.437333742e-03
302	303	x	1.712489669e-03
302	330	y	8.437333742e-03
303	304	x	1.712489669e-03
303	331	y	8.437333742e-03
304	305	x	1.712489669e-03
