x_idx	y_idx	drop_pct	voltage_v
11	8	0.098723529	0.999012765
12	8	0.092168087	0.999078319
13	8	0.084855776	0.999151442
14	8	0.091354457	0.999086455
15	8	0.097124567	0.999028754
16	8	0.102158573	0.998978414
17	8	0.106442202	0.998935578
18	8	0.110307485	0.998896925
19	8	0.113590313	0.998864097
20	8	0.116294695	0.998837053
21	8	0.118447193	0.998815528
22	8	0.119938882	0.998800611
23	8	0.120954664	0.998790453
24	8	0.121604396	0.998783956
25	8	0.121924190	0.998780758
26	8	0.122187748	0.998778123
27	8	0.122290933	0.998777091
0	7	0.123269180	0.998767308
1	7	0.123070480	0.998769295
2	7	0.122456600	0.998775434
3	7	0.121493166	0.998785068
4	7	0.120011315	0.998799887
5	7	0.118011028	0.998819890
6	7	0.115483997	0.998845160
7	7	0.112423687	0.998875763
8	7	0.108825513	0.998911745
9	7	0.104687745	0.998953123
10	7	0.100013145	0.998999869
11	7	0.094808181	0.999051918
12	7	0.088911008	0.999110890
13	7	0.082252985	0.999177470
14	7	0.088937672	0.999110623
15	7	0.094875514	0.999051245
16	7	0.100065765	0.998999342
17	7	0.104468500	0.998955315
18	7	0.108375166	0.998916248
19	7	0.111732945	0.998882671
20	7	0.114521453	0.998854785
21	7	0.116751742	0.998832483
22	7	0.118358020	0.998816420
23	7	0.119508036	0.998804920
24	7	0.120225548	0.998797745
25	7	0.120572022	0.998794280
26	7	0.120872643	0.998791274
27	7	0.120912744	0.998790873
0	6	0.117083165	0.998829168
1	6	0.116809736	0.998831903
2	6	0.116227863	0.998837721
3	6	0.115316906	0.998846831
4	6	0.114016939	0.998859831
5	6	0.112299234	0.998877008
6	6	0.110099636	0.998899004
7	6	0.107410911	0.998925891
8	6	0.104228470	0.998957715
9	6	0.100551456	0.998994485
10	6	0.096386061	0.999036139
11	6	0.091750409	0.999082496
12	6	0.086485074	0.999135149
13	6	0.080393560	0.999196064
14	6	0.087283314	0.999127167
15	6	0.093392261	0.999066077
16	6	0.098719932	0.999012801
17	6	0.103226564	0.998967734
18	6	0.107174993	0.998928250
19	6	0.110552803	0.998894472
20	6	0.113371077	0.998866289
21	6	0.115649224	0.998843508
22	6	0.117307536	0.998826925
23	6	0.118474424	0.998815256
24	6	0.119167910	0.998808321
25	6	0.119445628	0.998805544
26	6	0.119644533	0.998803555
27	6	0.119732168	0.998802678
0	5	0.112244254	0.998877557
1	5	0.112068614	0.998879314
2	5	0.111457845	0.998885422
3	5	0.110664460	0.998893355
4	5	0.109687816	0.998903122
5	5	0.108283032	0.998917170
6	5	0.106446288	0.998935537
7	5	0.104152005	0.998958480
8	5	0.101389112	0.998986109
9	5	0.098142647	0.999018574
10	5	0.094397063	0.999056029
