id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
4616	1	metal5	750	392	0	0	0	0.999956
4617	1	metal5	760	392	0	0	0	0.999956
4618	1	metal5	770	392	0	0	0	0.999955
4619	1	metal5	780	392	0	0	0	0.999954
4620	1	metal5	790	392	0	0	0	0.999953
4621	1	metal5	800	392	0	0	0	0.999953
4622	1	metal5	810	392	0	0	0	0.999952
4623	1	metal5	820	392	0	0	0	0.999952
4624	1	metal5	830	392	0	0	0	0.999952
4625	1	metal5	840	392	0	0	0	0.999951
4626	1	metal5	850	392	0	0	0	0.999951
4627	1	metal5	860	392	0	0	0	0.99995
4628	1	metal5	870	392	0	0	0	0.99995
4629	1	metal5	880	392	0	0	0	0.99995
4630	1	metal5	890	392	0	0	0	0.999949
4631	1	metal5	900	392	0	0	0	0.999949
4632	1	metal5	910	392	0	0	0	0.999949
4633	1	metal5	920	392	0	0	0	0.999948
4634	1	metal5	930	392	0	0	0	0.999948
4635	1	metal5	940	392	0	0	0	0.999948
4636	1	metal5	950	392	0	0	0	0.999948
4637	1	metal5	960	392	0	0	0	0.999948
4638	1	metal5	970	392	0	0	0	0.999948
4639	1	metal5	980	392	0	0	0	0.999947
4640	1	metal5	990	392	0	0	0	0.999947
4641	1	metal5	1000	392	0	0	0	0.999947
4642	1	metal5	1010	392	0	0	0	0.999947
4643	1	metal5	1020	392	0	0	0	0.999947
4644	1	metal5	1030	392	0	0	0	0.999947
4645	1	metal5	1040	392	0	0	0	0.999947
4646	1	metal5	1050	392	0	0	0	0.999947
4647	1	metal5	1060	392	0	0	0	0.999947
4648	1	metal5	1070	392	0	0	0	0.999947
4649	1	metal5	1080	392	0	0	0	0.999947
4650	1	metal5	1090	392	0	0	0	0.999947
4651	1	metal5	10	402	0	0	0	0.999943
4652	1	metal5	20	402	0	0	0	0.999944
4653	1	metal5	30	402	0	0	0	0.999944
4654	1	metal5	40	402	0	0	0	0.999944
4655	1	metal5	50	402	0	0	0	0.999944
4656	1	metal5	60	402	0	0	0	0.999944
4657	1	metal5	70	402	0	0	0	0.999944
4658	1	metal5	80	402	0	0	0	0.999945
4659	1	metal5	90	402	0	0	0	0.999945
4660	1	metal5	100	402	0	0	0	0.999945
4661	1	metal5	110	402	0	0	0	0.999945
4662	1	metal5	120	402	0	0	0	0.999945
4663	1	metal5	130	402	0	0	0	0.999946
4664	1	metal5	140	402	0	0	0	0.999946
4665	1	metal5	150	402	0	0	0	0.999946
4666	1	metal5	160	402	0	0	0	0.999947
4667	1	metal5	170	402	0	0	0	0.999947
4668	1	metal5	180	402	0	0	0	0.999946
4669	1	metal5	190	402	0	0	0	0.999947
4670	1	metal5	200	402	0	0	0	0.999948
4671	1	metal5	210	402	0	0	0	0.999948
4672	1	metal5	220	402	0	0	0	0.999949
4673	1	metal5	230	402	0	0	0	0.999948
4674	1	metal5	240	402	0	0	0	0.999949
4675	1	metal5	250	402	0	0	0	0.99995
4676	1	metal5	260	402	0	0	0	0.999951
4677	1	metal5	270	402	0	0	0	0.999951
4678	1	metal5	280	402	0	0	0	0.999951
4679	1	metal5	290	402	0	0	0	0.999951
4680	1	metal5	300	402	0	0	0	0.999953
4681	1	metal5	310	402	0	0	0	0.999954
4682	1	metal5	320	402	0	0	0	0.999955
4683	1	metal5	330	402	0	0	0	0.999955
4684	1	metal5	340	402	0	0	0	0.999955
4685	1	metal5	350	402	0	0	0	0.999954
4686	1	metal5	360	402	0	0	0	0.999957
4687	1	metal5	370	402	0	0	0	0.999959
4688	1	metal5	380	402	0	0	0	0.999959
4689	1	metal5	390	402	0	0	0	0.999959
4690	1	metal5	400	402	0	0	0	0.999958
4691	1	metal5	410	402	0	0	0	0.999962
4692	1	metal5	420	402	0	0	0	0.999964
4693	1	metal5	430	402	0	0	0	0.999966
4694	1	metal5	440	402	0	0	0	0.999966
4695	1	metal5	450	402	0	0	0	0.999966
4696	1	metal5	460	402	0	0	0	0.999964
4697	1	metal5	470	402	0	0	0	0.999969
4698	1	metal5	480	402	0	0	0	0.999972
4699	1	metal5	490	402	0	0	0	0.999974
4700	1	metal5	500	402	0	0	0	0.999973
4701	1	metal5	510	402	0	0	0	0.999968
4702	1	metal5	520	402	0	0	0	0.999978
4703	1	metal5	530	402	0	0	0	0.999981
4704	1	metal5	540	402	0	0	0	0.999983
4705	1	metal5	550	402	0	0	0	0.999985
4706	1	metal5	560	402	0	0	0	0.999979
4707	1	metal5	570	402	0	0	0	0.99997
4708	1	metal5	580	402	0	0	0	0.999977
4709	1	metal5	590	402	0	0	0	0.999977
