node_a	layer_a	x_a_um	y_a_um	node_b	layer_b	x_b_um	y_b_um	g_siemens
250	metal1	992.07	42	9151	metal4	992.07	42	1e+12
251	metal1	1048.07	42	9152	metal4	1048.07	42	1e+12
252	metal1	1086.21	42	9153	metal4	1086.21	42	1e+12
253	metal1	14.095	44.8	9154	metal4	14.095	44.8	1e+12
254	metal1	40.07	44.8	9155	metal4	40.07	44.8	1e+12
255	metal1	96.07	44.8	9156	metal4	96.07	44.8	1e+12
256	metal1	108.455	44.8	9157	metal4	108.455	44.8	1e+12
257	metal1	109.295	44.8	9158	metal4	109.295	44.8	1e+12
258	metal1	152.07	44.8	9159	metal4	152.07	44.8	1e+12
259	metal1	208.07	44.8	9160	metal4	208.07	44.8	1e+12
260	metal1	264.07	44.8	9161	metal4	264.07	44.8	1e+12
261	metal1	320.07	44.8	9162	metal4	320.07	44.8	1e+12
262	metal1	376.07	44.8	9163	metal4	376.07	44.8	1e+12
263	metal1	432.07	44.8	9164	metal4	432.07	44.8	1e+12
264	metal1	488.07	44.8	9165	metal4	488.07	44.8	1e+12
265	metal1	544.07	44.8	9166	metal4	544.07	44.8	1e+12
266	metal1	600.07	44.8	9167	metal4	600.07	44.8	1e+12
267	metal1	656.07	44.8	9168	metal4	656.07	44.8	1e+12
268	metal1	712.07	44.8	9169	metal4	712.07	44.8	1e+12
269	metal1	768.07	44.8	9170	metal4	768.07	44.8	1e+12
270	metal1	824.07	44.8	9171	metal4	824.07	44.8	1e+12
271	metal1	880.07	44.8	9172	metal4	880.07	44.8	1e+12
272	metal1	936.07	44.8	9173	metal4	936.07	44.8	1e+12
273	metal1	992.07	44.8	9174	metal4	992.07	44.8	1e+12
274	metal1	1048.07	44.8	9175	metal4	1048.07	44.8	1e+12
275	metal1	1086.21	44.8	9176	metal4	1086.21	44.8	1e+12
276	metal1	14.095	47.6	9177	metal4	14.095	47.6	1e+12
277	metal1	40.07	47.6	9178	metal4	40.07	47.6	1e+12
278	metal1	96.07	47.6	9179	metal4	96.07	47.6	1e+12
279	metal1	108.455	47.6	9180	metal4	108.455	47.6	1e+12
280	metal1	109.295	47.6	9181	metal4	109.295	47.6	1e+12
281	metal1	152.07	47.6	9182	metal4	152.07	47.6	1e+12
282	metal1	208.07	47.6	9183	metal4	208.07	47.6	1e+12
283	metal1	264.07	47.6	9184	metal4	264.07	47.6	1e+12
284	metal1	320.07	47.6	9185	metal4	320.07	47.6	1e+12
285	metal1	376.07	47.6	9186	metal4	376.07	47.6	1e+12
286	metal1	432.07	47.6	9187	metal4	432.07	47.6	1e+12
287	metal1	488.07	47.6	9188	metal4	488.07	47.6	1e+12
288	metal1	544.07	47.6	9189	metal4	544.07	47.6	1e+12
289	metal1	600.07	47.6	9190	metal4	600.07	47.6	1e+12
290	metal1	656.07	47.6	9191	metal4	656.07	47.6	1e+12
291	metal1	712.07	47.6	9192	metal4	712.07	47.6	1e+12
292	metal1	768.07	47.6	9193	metal4	768.07	47.6	1e+12
293	metal1	824.07	47.6	9194	metal4	824.07	47.6	1e+12
294	metal1	880.07	47.6	9195	metal4	880.07	47.6	1e+12
295	metal1	936.07	47.6	9196	metal4	936.07	47.6	1e+12
296	metal1	992.07	47.6	9197	metal4	992.07	47.6	1e+12
297	metal1	1048.07	47.6	9198	metal4	1048.07	47.6	1e+12
298	metal1	1086.21	47.6	9199	metal4	1086.21	47.6	1e+12
299	metal1	14.095	50.4	9200	metal4	14.095	50.4	1e+12
300	metal1	40.07	50.4	9201	metal4	40.07	50.4	1e+12
301	metal1	96.07	50.4	9202	metal4	96.07	50.4	1e+12
302	metal1	108.455	50.4	9203	metal4	108.455	50.4	1e+12
303	metal1	109.295	50.4	9204	metal4	109.295	50.4	1e+12
304	metal1	152.07	50.4	9205	metal4	152.07	50.4	1e+12
305	metal1	208.07	50.4	9206	metal4	208.07	50.4	1e+12
306	metal1	264.07	50.4	9207	metal4	264.07	50.4	1e+12
307	metal1	320.07	50.4	9208	metal4	320.07	50.4	1e+12
308	metal1	376.07	50.4	9209	metal4	376.07	50.4	1e+12
309	metal1	432.07	50.4	9210	metal4	432.07	50.4	1e+12
310	metal1	488.07	50.4	9211	metal4	488.07	50.4	1e+12
311	metal1	544.07	50.4	9212	metal4	544.07	50.4	1e+12
312	metal1	600.07	50.4	9213	metal4	600.07	50.4	1e+12
313	metal1	656.07	50.4	9214	metal4	656.07	50.4	1e+12
314	metal1	712.07	50.4	9215	metal4	712.07	50.4	1e+12
315	metal1	768.07	50.4	9216	metal4	768.07	50.4	1e+12
316	metal1	824.07	50.4	9217	metal4	824.07	50.4	1e+12
317	metal1	880.07	50.4	9218	metal4	880.07	50.4	1e+12
318	metal1	936.07	50.4	9219	metal4	936.07	50.4	1e+12
319	metal1	992.07	50.4	9220	metal4	992.07	50.4	1e+12
320	metal1	1048.07	50.4	9221	metal4	1048.07	50.4	1e+12
321	metal1	1086.21	50.4	9222	metal4	1086.21	50.4	1e+12
322	metal1	14.095	53.2	9223	metal4	14.095	53.2	1e+12
323	metal1	40.07	53.2	9224	metal4	40.07	53.2	1e+12
324	metal1	96.07	53.2	9225	metal4	96.07	53.2	1e+12
325	metal1	108.455	53.2	9226	metal4	108.455	53.2	1e+12
326	metal1	109.295	53.2	9227	metal4	109.295	53.2	1e+12
327	metal1	152.07	53.2	9228	metal4	152.07	53.2	1e+12
328	metal1	208.07	53.2	9229	metal4	208.07	53.2	1e+12
329	metal1	264.07	53.2	9230	metal4	264.07	53.2	1e+12
330	metal1	320.07	53.2	9231	metal4	320.07	53.2	1e+12
331	metal1	376.07	53.2	9232	metal4	376.07	53.2	1e+12
332	metal1	432.07	53.2	9233	metal4	432.07	53.2	1e+12
333	metal1	488.07	53.2	9234	metal4	488.07	53.2	1e+12
334	metal1	544.07	53.2	9235	metal4	544.07	53.2	1e+12
335	metal1	600.07	53.2	9236	metal4	600.07	53.2	1e+12
336	metal1	656.07	53.2	9237	metal4	656.07	53.2	1e+12
337	metal1	712.07	53.2	9238	metal4	712.07	53.2	1e+12
338	metal1	768.07	53.2	9239	metal4	768.07	53.2	1e+12
339	metal1	824.07	53.2	9240	metal4	824.07	53.2	1e+12
340	metal1	880.07	53.2	9241	metal4	880.07	53.2	1e+12
341	metal1	936.07	53.2	9242	metal4	936.07	53.2	1e+12
342	metal1	992.07	53.2	9243	metal4	992.07	53.2	1e+12
343	metal1	1048.07	53.2	9244	metal4	1048.07	53.2	1e+12
344	metal1	1086.21	53.2	9245	metal4	1086.21	53.2	1e+12
345	metal1	14.095	56	9246	metal4	14.095	56	1e+12
346	metal1	40.07	56	9247	metal4	40.07	56	1e+12
347	metal1	96.07	56	9248	metal4	96.07	56	1e+12
348	metal1	108.455	56	9249	metal4	108.455	56	1e+12
349	metal1	109.295	56	9250	metal4	109.295	56	1e+12
350	metal1	152.07	56	9251	metal4	152.07	56	1e+12
351	metal1	208.07	56	9252	metal4	208.07	56	1e+12
352	metal1	264.07	56	9253	metal4	264.07	56	1e+12
353	metal1	320.07	56	9254	metal4	320.07	56	1e+12
354	metal1	376.07	56	9255	metal4	376.07	56	1e+12
355	metal1	432.07	56	9256	metal4	432.07	56	1e+12
356	metal1	488.07	56	9257	metal4	488.07	56	1e+12
357	metal1	544.07	56	9258	metal4	544.07	56	1e+12
358	metal1	600.07	56	9259	metal4	600.07	56	1e+12
359	metal1	656.07	56	9260	metal4	656.07	56	1e+12
360	metal1	712.07	56	9261	metal4	712.07	56	1e+12
361	metal1	768.07	56	9262	metal4	768.07	56	1e+12
362	metal1	824.07	56	9263	metal4	824.07	56	1e+12
363	metal1	880.07	56	9264	metal4	880.07	56	1e+12
364	metal1	936.07	56	9265	metal4	936.07	56	1e+12
365	metal1	992.07	56	9266	metal4	992.07	56	1e+12
366	metal1	1048.07	56	9267	metal4	1048.07	56	1e+12
367	metal1	1086.21	56	9268	metal4	1086.21	56	1e+12
368	metal1	14.095	58.8	9269	metal4	14.095	58.8	1e+12
369	metal1	40.07	58.8	9270	metal4	40.07	58.8	1e+12
370	metal1	96.07	58.8	9271	metal4	96.07	58.8	1e+12
371	metal1	108.455	58.8	9272	metal4	108.455	58.8	1e+12
372	metal1	109.295	58.8	9273	metal4	109.295	58.8	1e+12
373	metal1	152.07	58.8	9274	metal4	152.07	58.8	1e+12
374	metal1	208.07	58.8	9275	metal4	208.07	58.8	1e+12
375	metal1	264.07	58.8	9276	metal4	264.07	58.8	1e+12
376	metal1	320.07	58.8	9277	metal4	320.07	58.8	1e+12
377	metal1	376.07	58.8	9278	metal4	376.07	58.8	1e+12
378	metal1	432.07	58.8	9279	metal4	432.07	58.8	1e+12
379	metal1	488.07	58.8	9280	metal4	488.07	58.8	1e+12
380	metal1	544.07	58.8	9281	metal4	544.07	58.8	1e+12
381	metal1	600.07	58.8	9282	metal4	600.07	58.8	1e+12
382	metal1	656.07	58.8	9283	metal4	656.07	58.8	1e+12
383	metal1	712.07	58.8	9284	metal4	712.07	58.8	1e+12
384	metal1	768.07	58.8	9285	metal4	768.07	58.8	1e+12
385	metal1	824.07	58.8	9286	metal4	824.07	58.8	1e+12
386	metal1	880.07	58.8	9287	metal4	880.07	58.8	1e+12
387	metal1	936.07	58.8	9288	metal4	936.07	58.8	1e+12
388	metal1	992.07	58.8	9289	metal4	992.07	58.8	1e+12
389	metal1	1048.07	58.8	9290	metal4	1048.07	58.8	1e+12
390	metal1	1086.21	58.8	9291	metal4	1086.21	58.8	1e+12
391	metal1	14.095	61.6	9315	metal4	14.095	61.6	1e+12
392	metal1	40.07	61.6	9316	metal4	40.07	61.6	1e+12
393	metal1	96.07	61.6	9317	metal4	96.07	61.6	1e+12
394	metal1	108.455	61.6	9318	metal4	108.455	61.6	1e+12
395	metal1	109.295	61.6	9319	metal4	109.295	61.6	1e+12
396	metal1	152.07	61.6	9320	metal4	152.07	61.6	1e+12
397	metal1	208.07	61.6	9321	metal4	208.07	61.6	1e+12
398	metal1	264.07	61.6	9322	metal4	264.07	61.6	1e+12
399	metal1	320.07	61.6	9323	metal4	320.07	61.6	1e+12
400	metal1	376.07	61.6	9324	metal4	376.07	61.6	1e+12
401	metal1	432.07	61.6	9325	metal4	432.07	61.6	1e+12
402	metal1	488.07	61.6	9326	metal4	488.07	61.6	1e+12
403	metal1	544.07	61.6	9327	metal4	544.07	61.6	1e+12
404	metal1	600.07	61.6	9328	metal4	600.07	61.6	1e+12
405	metal1	656.07	61.6	9329	metal4	656.07	61.6	1e+12
406	metal1	712.07	61.6	9330	metal4	712.07	61.6	1e+12
407	metal1	768.07	61.6	9331	metal4	768.07	61.6	1e+12
408	metal1	824.07	61.6	9332	metal4	824.07	61.6	1e+12
409	metal1	880.07	61.6	9333	metal4	880.07	61.6	1e+12
410	metal1	936.07	61.6	9334	metal4	936.07	61.6	1e+12
411	metal1	992.07	61.6	9335	metal4	992.07	61.6	1e+12
412	metal1	1048.07	61.6	9336	metal4	1048.07	61.6	1e+12
