id	layer_idx	layer_name	x_um	y_um	v_v	fixed	i_load_a
5146	3	metal4	1019.66	926.485	1.09919	0	0.00156042
5147	0	metal5	1019.66	926.485	1.09924	0	0
5148	3	metal4	1015.18	976.485	1.09926	0	0
5149	0	metal5	1015.18	976.485	1.09926	0	0
5150	3	metal4	1015.18	966.485	1.09926	0	0
5151	0	metal5	1015.18	966.485	1.09926	0	0
5152	3	metal4	1015.18	956.485	1.09926	0	0
5153	0	metal5	1015.18	956.485	1.09926	0	0
5154	3	metal4	1015.18	946.485	1.09926	0	0
5155	0	metal5	1015.18	946.485	1.09926	0	0
5156	3	metal4	1015.18	936.485	1.09926	0	0
5157	0	metal5	1015.18	936.485	1.09926	0	0
5158	3	metal4	1015.18	926.485	1.09924	0	0
5159	0	metal5	1015.18	926.485	1.09924	0	0
5160	3	metal4	1010.7	976.485	1.09926	0	0
5161	0	metal5	1010.7	976.485	1.09926	0	0
5162	3	metal4	1010.7	966.485	1.09926	0	0
5163	0	metal5	1010.7	966.485	1.09926	0	0
5164	3	metal4	1010.7	956.485	1.09926	0	0
5165	0	metal5	1010.7	956.485	1.09926	0	0
5166	3	metal4	1010.7	946.485	1.09926	0	0
5167	0	metal5	1010.7	946.485	1.09926	0	0
5168	3	metal4	1010.7	936.485	1.09926	0	0
5169	0	metal5	1010.7	936.485	1.09926	0	0
5170	3	metal4	1010.7	926.485	1.09924	0	0
5171	0	metal5	1010.7	926.485	1.09924	0	0
5172	3	metal4	1006.22	976.485	1.09926	0	0
5173	0	metal5	1006.22	976.485	1.09926	0	0
5174	3	metal4	1006.22	966.485	1.09927	0	0
5175	0	metal5	1006.22	966.485	1.09927	0	0
5176	3	metal4	1006.22	956.485	1.09926	0	0
5177	0	metal5	1006.22	956.485	1.09926	0	0
5178	3	metal4	1006.22	946.485	1.09926	0	0
5179	0	metal5	1006.22	946.485	1.09926	0	0
5180	3	metal4	1006.22	936.485	1.09926	0	0
5181	0	metal5	1006.22	936.485	1.09926	0	0
5182	3	metal4	1006.22	926.485	1.09925	0	0
5183	0	metal5	1006.22	926.485	1.09925	0	0
5184	1	metal6	979.52	59.6	1.09936	0	0
5185	2	metal7	979.52	59.6	1.09937	0	0
5186	1	metal6	979.52	29.6	1.09937	0	0
5187	2	metal7	979.52	29.6	1.09938	0	0
5188	1	metal6	969.52	59.6	1.09936	0	0
5189	2	metal7	969.52	59.6	1.09937	0	0
5190	1	metal6	969.52	29.6	1.09937	0	0
5191	2	metal7	969.52	29.6	1.09938	0	0
5192	1	metal6	959.52	59.6	1.09936	0	0
5193	2	metal7	959.52	59.6	1.09936	0	0
5194	1	metal6	959.52	29.6	1.09937	0	0
5195	2	metal7	959.52	29.6	1.09938	0	0
5196	1	metal6	949.52	59.6	1.09935	0	0
5197	2	metal7	949.52	59.6	1.09936	0	0
5198	1	metal6	949.52	29.6	1.09936	0	0
5199	2	metal7	949.52	29.6	1.09937	0	0
5200	1	metal6	939.52	59.6	1.09935	0	0
5201	2	metal7	939.52	59.6	1.09936	0	0
5202	1	metal6	939.52	29.6	1.09936	0	0
5203	2	metal7	939.52	29.6	1.09937	0	0
5204	1	metal6	929.52	59.6	1.09935	0	0
5205	2	metal7	929.52	59.6	1.09936	0	0
5206	1	metal6	929.52	29.6	1.09936	0	0
5207	2	metal7	929.52	29.6	1.09937	0	0
5208	1	metal6	919.52	59.6	1.09934	0	0
5209	2	metal7	919.52	59.6	1.09936	0	0
5210	1	metal6	919.52	29.6	1.09935	0	0
5211	2	metal7	919.52	29.6	1.09937	0	0
5212	1	metal6	909.52	59.6	1.09934	0	0
5213	2	metal7	909.52	59.6	1.09936	0	0
5214	1	metal6	909.52	29.6	1.09934	0	0
5215	2	metal7	909.52	29.6	1.09937	0	0
5216	0	metal5	979.52	79.715	1.09935	0	0
5217	1	metal6	979.52	79.715	1.09936	0	0
5218	0	metal5	979.52	69.715	1.09936	0	0
5219	1	metal6	979.52	69.715	1.09936	0	0
5220	0	metal5	979.52	59.715	1.09936	0	0
5221	1	metal6	979.52	59.715	1.09936	0	0
5222	0	metal5	979.52	49.715	1.09936	0	0
5223	1	metal6	979.52	49.715	1.09936	0	0
5224	0	metal5	979.52	39.715	1.09936	0	0
5225	1	metal6	979.52	39.715	1.09937	0	0
5226	0	metal5	979.52	29.715	1.09937	0	0
5227	1	metal6	979.52	29.715	1.09937	0	0
5228	0	metal5	969.52	79.715	1.09935	0	0
5229	1	metal6	969.52	79.715	1.09936	0	0
5230	0	metal5	969.52	69.715	1.09935	0	0
5231	1	metal6	969.52	69.715	1.09936	0	0
5232	0	metal5	969.52	59.715	1.09935	0	0
5233	1	metal6	969.52	59.715	1.09936	0	0
5234	0	metal5	969.52	49.715	1.09936	0	0
5235	1	metal6	969.52	49.715	1.09936	0	0
5236	0	metal5	969.52	39.715	1.09936	0	0
5237	1	metal6	969.52	39.715	1.09937	0	0
5238	0	metal5	969.52	29.715	1.09937	0	0
5239	1	metal6	969.52	29.715	1.09937	0	0
5240	0	metal5	959.52	79.715	1.09935	0	0
5241	1	metal6	959.52	79.715	1.09935	0	0
5242	0	metal5	959.52	69.715	1.09935	0	0
5243	1	metal6	959.52	69.715	1.09935	0	0
5244	0	metal5	959.52	59.715	1.09935	0	0
5245	1	metal6	959.52	59.715	1.09936	0	0
5246	0	metal5	959.52	49.715	1.09936	0	0
5247	1	metal6	959.52	49.715	1.09936	0	0
5248	0	metal5	959.52	39.715	1.09936	0	0
5249	1	metal6	959.52	39.715	1.09936	0	0
5250	0	metal5	959.52	29.715	1.09936	0	0
5251	1	metal6	959.52	29.715	1.09937	0	0
5252	0	metal5	949.52	79.715	1.09935	0	0
5253	1	metal6	949.52	79.715	1.09935	0	0
5254	0	metal5	949.52	69.715	1.09935	0	0
5255	1	metal6	949.52	69.715	1.09935	0	0
5256	0	metal5	949.52	59.715	1.09934	0	0
5257	1	metal6	949.52	59.715	1.09935	0	0
5258	0	metal5	949.52	49.715	1.09936	0	0
5259	1	metal6	949.52	49.715	1.09936	0	0
5260	0	metal5	949.52	39.715	1.09936	0	0
5261	1	metal6	949.52	39.715	1.09936	0	0
5262	0	metal5	949.52	29.715	1.09936	0	0
5263	1	metal6	949.52	29.715	1.09936	0	0
5264	0	metal5	939.52	79.715	1.09934	0	0
5265	1	metal6	939.52	79.715	1.09934	0	0
5266	0	metal5	939.52	69.715	1.09934	0	0
5267	1	metal6	939.52	69.715	1.09934	0	0
5268	0	metal5	939.52	59.715	1.09934	0	0
5269	1	metal6	939.52	59.715	1.09935	0	0
5270	0	metal5	939.52	49.715	1.09935	0	0
5271	1	metal6	939.52	49.715	1.09935	0	0
5272	0	metal5	939.52	39.715	1.09936	0	0
5273	1	metal6	939.52	39.715	1.09936	0	0
5274	0	metal5	939.52	29.715	1.09935	0	0
5275	1	metal6	939.52	29.715	1.09936	0	0
5276	0	metal5	929.52	79.715	1.09934	0	0
5277	1	metal6	929.52	79.715	1.09934	0	0
5278	0	metal5	929.52	69.715	1.09933	0	0
5279	1	metal6	929.52	69.715	1.09934	0	0
5280	0	metal5	929.52	59.715	1.09934	0	0
5281	1	metal6	929.52	59.715	1.09935	0	0
5282	0	metal5	929.52	49.715	1.09935	0	0
5283	1	metal6	929.52	49.715	1.09935	0	0
5284	0	metal5	929.52	39.715	1.09935	0	0
5285	1	metal6	929.52	39.715	1.09935	0	0
5286	0	metal5	929.52	29.715	1.09935	0	0
5287	1	metal6	929.52	29.715	1.09936	0	0
5288	0	metal5	919.52	79.715	1.09933	0	0
5289	1	metal6	919.52	79.715	1.09933	0	0
5290	0	metal5	919.52	69.715	1.09931	0	0
5291	1	metal6	919.52	69.715	1.09933	0	0
5292	0	metal5	919.52	59.715	1.09934	0	0
5293	1	metal6	919.52	59.715	1.09934	0	0
5294	0	metal5	919.52	49.715	1.09935	0	0
5295	1	metal6	919.52	49.715	1.09935	0	0
5296	0	metal5	919.52	39.715	1.09935	0	0
5297	1	metal6	919.52	39.715	1.09935	0	0
5298	0	metal5	919.52	29.715	1.09933	0	0
5299	1	metal6	919.52	29.715	1.09935	0	0
