# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
225.39	1054.025	225.25	1053.56	225.53	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
225.39	1044.025	225.25	1043.56	225.53	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
225.39	1034.025	225.25	1033.56	225.53	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
225.39	1024.025	225.25	1023.56	225.53	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
220.91	1074.025	220.77	1073.56	221.05	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
220.91	1064.025	220.77	1063.56	221.05	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
220.91	1054.025	220.77	1053.56	221.05	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
220.91	1044.025	220.77	1043.56	221.05	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
220.91	1034.025	220.77	1033.56	221.05	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
220.91	1024.025	220.77	1023.56	221.05	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
97.07	1079.6	96.605	1078.9	97.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
97.07	1049.6	96.605	1048.9	97.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
97.07	1019.6	96.605	1018.9	97.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
87.07	1079.6	86.605	1078.9	87.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
87.07	1049.6	86.605	1048.9	87.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
87.07	1019.6	86.605	1018.9	87.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
77.07	1079.6	76.605	1078.9	77.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
77.07	1049.6	76.605	1048.9	77.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
77.07	1019.6	76.605	1018.9	77.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
67.07	1079.6	66.605	1078.9	67.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
67.07	1049.6	66.605	1048.9	67.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
67.07	1019.6	66.605	1018.9	67.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
57.07	1079.6	56.605	1078.9	57.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
57.07	1049.6	56.605	1048.9	57.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
57.07	1019.6	56.605	1018.9	57.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
47.07	1079.6	46.605	1078.9	47.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
47.07	1049.6	46.605	1048.9	47.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
47.07	1019.6	46.605	1018.9	47.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
37.07	1079.6	36.605	1078.9	37.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
37.07	1049.6	36.605	1048.9	37.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
37.07	1019.6	36.605	1018.9	37.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
27.07	1079.6	26.605	1078.9	27.535	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
27.07	1049.6	26.605	1048.9	27.535	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
27.07	1019.6	26.605	1018.9	27.535	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
97.07	1074.025	96.605	1073.56	97.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	1064.025	96.605	1063.56	97.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	1054.025	96.605	1053.56	97.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	1044.025	96.605	1043.56	97.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	1034.025	96.605	1033.56	97.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
97.07	1024.025	96.605	1023.56	97.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	1074.025	86.605	1073.56	87.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	1064.025	86.605	1063.56	87.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	1054.025	86.605	1053.56	87.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	1044.025	86.605	1043.56	87.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	1034.025	86.605	1033.56	87.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
87.07	1024.025	86.605	1023.56	87.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	1074.025	76.605	1073.56	77.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	1064.025	76.605	1063.56	77.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	1054.025	76.605	1053.56	77.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	1044.025	76.605	1043.56	77.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	1034.025	76.605	1033.56	77.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
77.07	1024.025	76.605	1023.56	77.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	1074.025	66.605	1073.56	67.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	1064.025	66.605	1063.56	67.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	1054.025	66.605	1053.56	67.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	1044.025	66.605	1043.56	67.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	1034.025	66.605	1033.56	67.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	1024.025	66.605	1023.56	67.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	1074.025	56.605	1073.56	57.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	1064.025	56.605	1063.56	57.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	1054.025	56.605	1053.56	57.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	1044.025	56.605	1043.56	57.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	1034.025	56.605	1033.56	57.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	1024.025	56.605	1023.56	57.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	1074.025	46.605	1073.56	47.535	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	1064.025	46.605	1063.56	47.535	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	1054.025	46.605	1053.56	47.535	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	1044.025	46.605	1043.56	47.535	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	1034.025	46.605	1033.56	47.535	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	1024.025	46.605	1023.56	47.535	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
