net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	56.605	1078.9	57.535	1080.3	57.07	1079.6
VDD	POWER	via	?	56.605	1048.9	57.535	1050.3	57.07	1049.6
VDD	POWER	via	?	56.605	1018.9	57.535	1020.3	57.07	1019.6
VDD	POWER	via	?	46.605	1078.9	47.535	1080.3	47.07	1079.6
VDD	POWER	via	?	46.605	1048.9	47.535	1050.3	47.07	1049.6
VDD	POWER	via	?	46.605	1018.9	47.535	1020.3	47.07	1019.6
VDD	POWER	via	?	36.605	1078.9	37.535	1080.3	37.07	1079.6
VDD	POWER	via	?	36.605	1048.9	37.535	1050.3	37.07	1049.6
VDD	POWER	via	?	36.605	1018.9	37.535	1020.3	37.07	1019.6
VDD	POWER	via	?	26.605	1078.9	27.535	1080.3	27.07	1079.6
VDD	POWER	via	?	26.605	1048.9	27.535	1050.3	27.07	1049.6
VDD	POWER	via	?	26.605	1018.9	27.535	1020.3	27.07	1019.6
VDD	POWER	via	?	96.605	1073.56	97.535	1074.49	97.07	1074.025
VDD	POWER	via	?	96.605	1063.56	97.535	1064.49	97.07	1064.025
VDD	POWER	via	?	96.605	1053.56	97.535	1054.49	97.07	1054.025
VDD	POWER	via	?	96.605	1043.56	97.535	1044.49	97.07	1044.025
VDD	POWER	via	?	96.605	1033.56	97.535	1034.49	97.07	1034.025
VDD	POWER	via	?	96.605	1023.56	97.535	1024.49	97.07	1024.025
VDD	POWER	via	?	86.605	1073.56	87.535	1074.49	87.07	1074.025
VDD	POWER	via	?	86.605	1063.56	87.535	1064.49	87.07	1064.025
VDD	POWER	via	?	86.605	1053.56	87.535	1054.49	87.07	1054.025
VDD	POWER	via	?	86.605	1043.56	87.535	1044.49	87.07	1044.025
VDD	POWER	via	?	86.605	1033.56	87.535	1034.49	87.07	1034.025
VDD	POWER	via	?	86.605	1023.56	87.535	1024.49	87.07	1024.025
VDD	POWER	via	?	76.605	1073.56	77.535	1074.49	77.07	1074.025
VDD	POWER	via	?	76.605	1063.56	77.535	1064.49	77.07	1064.025
